id,player,fpl_name,fpl_id,element_type,now_cost
603809,Harry Wilson,Harry Wilson,288,3,53
606946,Tosin Adarabioyo,Tosin Adarabioyo,286,2,43
603802,Kenny Tete,Kenny Tete,285,2,44
603805,Antonee Robinson,Antonee Robinson,283,2,45
603807,Harrison Reed,Harrison Reed,282,3,45
603804,Tim Ream,Tim Ream,281,2,45
605098,João Palhinha,João Palhinha Gonçalves,280,3,50
605096,Rodrigo Muniz,Rodrigo Muniz Carvalho,279,4,45
603806,Sasa Lukic,Saša Lukić,276,3,43
603801,Bernd Leno,Bernd Leno,275,1,48
603803,Issa Diop,Issa Diop,271,2,44
603813,Bobby Reid,Bobby De Cordova-Reid,270,3,53
603808,Tom Cairney,Tom Cairney,268,3,49
603812,Andreas Pereira,Andreas Hoelgebaum Pereira,267,3,53
603791,James Tarkowski,James Tarkowski,265,2,46
603788,Jordan Pickford,Jordan Pickford,263,1,46
603789,Nathan Patterson,Nathan Patterson,262,2,43
603794,Amadou Onana,Amadou Onana,261,3,47
611274,Vitalii Mykolenko,Vitalii Mykolenko,260,2,46
608360,Dwight McNeil,Dwight McNeil,259,3,54
603798,Neal Maupay,Neal Maupay,258,4,49
603790,Michael Keane,Michael Keane,257,2,43
603796,Alex Iwobi,Alex Iwobi,256,3,53
638731,Mason Holgate,Mason Holgate,255,2,40
603795,Idrissa Gueye,Idrissa Gueye,254,3,48
608361,Ben Godfrey,Ben Godfrey,252,2,43
603793,James Garner,James Garner,250,3,49
603797,Abdoulaye Doucouré,Abdoulaye Doucouré,249,3,55
628172,Seamus Coleman,Seamus Coleman,247,2,44
605764,Dominic Calvert-Lewin,Dominic Calvert-Lewin,246,4,58
606865,Jarrad Branthwaite,Jarrad Branthwaite,245,2,42
632633,André Gomes,André Tavares Gomes,244,3,44
603832,Joel Ward,Joel Ward,242,2,45
603842,James Tomkins,James Tomkins,241,2,40
603840,Jeffrey Schlupp,Jeffrey Schlupp,240,3,48
