id,player,fpl_name,fpl_id,element_type,now_cost
603931,Ollie Watkins,Ollie Watkins,60,4,90
603932,Youri Tielemans,Youri Tielemans,58,3,56
612764,Jacob Ramsey,Jacob Ramsey,55,3,59
607453,Robin Olsen,Robin Olsen,53,1,39
603780,Marvelous Nakamba,Marvelous Nakamba,52,3,43
603924,Tyrone Mings,Tyrone Mings,51,2,41
603930,John McGinn,John McGinn,50,3,54
603921,Emiliano Martinez,Emiliano Martínez Romero,49,1,53
603923,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,48,2,45
603927,Boubacar Kamara,Boubacar Kamara,47,3,50
633064,Tim Iroegbunam,Tim Iroegbunam,46,3,44
605752,Jhon Durán,Jhon Durán,44,4,50
603926,Douglas Luiz,Douglas Luiz Soares de Paulo,43,3,57
603925,Lucas Digne,Lucas Digne,42,2,46
603934,Diego Carlos,Diego Carlos Santos Silva,41,2,44
643187,Calum Chambers,Calum Chambers,37,2,38
603922,Matthew Cash,Matty Cash,36,2,46
603928,Leon Bailey,Leon Bailey,34,3,57
605753,Cameron Archer,Cameron Archer,33,4,42
627173,Álex Moreno,Alexandre Moreno Lopera,32,2,52
606396,Oleksandr Zinchenko,Oleksandr Zinchenko,31,2,50
603699,Ben White,Benjamin White,29,2,57
603710,Matt Turner,Matt Turner,28,1,39
611547,Auston Trusty,Auston Trusty,27,2,39
603707,Leandro Trossard,Leandro Trossard,26,3,65
603709,Takehiro Tomiyasu,Takehiro Tomiyasu,25,2,45
608766,Nuno Tavares,Nuno Varela Tavares,23,2,40
612778,Emile Smith-Rowe,Emile Smith Rowe,22,3,53
610420,Albert Sambi Lokonga,Albert Sambi Lokonga,21,3,49
603698,William Saliba,William Saliba,20,2,58
603704,Bukayo Saka,Bukayo Saka,19,3,92
603696,Aaron Ramsdale,Aaron Ramsdale,17,1,45
603697,Thomas Partey,Thomas Partey,15,3,48
603702,Martin Odegaard,Martin Ødegaard,14,3,85
603705,Eddie Nketiah,Eddie Nketiah,13,4,51
603706,Gabriel Martinelli,Gabriel Martinelli Silva,12,3,77
606395,Jakub Kiwior,Jakub Kiwior,10,2,44
606394,Jorginho,Jorge Luiz Frello Filho,9,3,53
606928,Gabriel Jesus,Gabriel Fernando de Jesus,8,4,78
603701,Kai Havertz,Kai Havertz,6,3,72
603708,Gabriel,Gabriel dos Santos Magalhães,5,2,53
606930,Fábio Vieira,Fábio Ferreira Vieira,4,3,54
619908,Mohamed Elneny,Mohamed Elneny,3,3,44
640666,Cédric Soares,Cédric Alves Soares,2,2,38
603933,Philippe Coutinho,,,,
603936,Jaden Philogene-Bidace,,,,
603732,Joe Rothwell,,,,
603733,David Brooks,,,,
603735,Jaidon Anthony,,,,
603740,Kieffer Moore,,,,
603761,Mahmoud Dahoud,,,,
603604,Connor Roberts,,,,
603615,Anass Zaroury,,,,
604418,Ian Maatsen,,,,
603814,Aleksandar Mitrovic,,,,
603777,Ryan John Giles,,,,
603632,Aymeric Laporte,,,,
604631,Facundo Pellistri,,,,
604632,Jadon Sancho,,,,
603711,Joe Worrall,,,,
603712,Scott McKenna,,,,
603714,Serge Aurier,,,,
603716,Orel Mangala,,,,
603825,Bénie Traoré,,,,
603830,Antwoine Hackford,,,,
604211,Ivan Perisic,,,,
603750,Pablo Fornals,,,,
603751,Said Benrahma,,,,
603753,Thilo Kehrer,,,,
604647,Fabio Silva,,,,
604645,Sasa Kalajdzic,,,,
605148,Hamed Junior Traore,,,,
607465,Bertrand Traoré,,,,
606873,Thomas Cannon,,,,
608659,Michael Olakigbe,,,,
608737,Luke Harris,,,,
608347,Luke Thomas,,,,
610473,Leander Dendoncker,,,,
610409,Carlos Vinicius,,,,
610443,Hannibal Mejbri,,,,
615837,Alex Matos,,,,
614642,Donny van de Beek,,,,
614972,Alejo Véliz,,,,
614613,Jonny,,,,
620620,Andrey Santos,,,,
619926,John Fleck,,,,
622761,Eric Dier,,,,
623287,Michael Obafemi,,,,
624908,Michael Ndiweni,,,,
626511,Myles Peart-Harris,,,,
633047,Daniel Gore,,,,
636306,Owen Beck,,,,
635966,Brandon Aguilera,,,,
