player_id,web_name,team_name,now_cost,element_type,33,34,35,36,37,38
65,Werner,Tottenham,6.3,4.0,5.00178657956206,0.0,0.0,0.0,0.0,0.0
76,Schär,Newcastle United,5.4,2.0,4.124930293169533,4.071899834193749,3.740225768292942,0.0,0.0,3.578852368451763
87,Joelinton,Newcastle United,5.8,3.0,0.0,0.0,0.0,0.0,0.0,3.6464279856808446
181,Leno,Fulham,4.8,1.0,3.7979292015538424,3.7733227446787088,4.479627222954044,3.896507191668938,3.891312008443563,4.210934820069409
239,Gross,Brighton,6.6,3.0,5.018319174240235,4.29015249269129,4.417116463626736,4.516517190430234,8.132063496941777,4.513060476510624
343,Højbjerg,Tottenham,5.2,3.0,0.0,0.0,2.2311505225788846,0.0,2.4619501111970616,0.0
447,De Bruyne,Manchester City,10.5,3.0,9.998086164111777,5.956549057949703,5.83650667415809,7.584343862865522,11.029842638278751,8.087431082576671
453,Son,Tottenham,9.9,3.0,3.8613164968441622,0.0,10.335480286139392,4.814098622848899,11.426311165809672,6.589334268751758
468,Wilson,Newcastle United,7.8,4.0,0.0,0.0,0.0,3.615336490812641,0.0,0.0
486,Lallana,Brighton,4.9,3.0,0.0,1.4348442547158948,0.0,0.0,0.0,1.8392096457607654
500,Iwobi,Fulham,5.3,3.0,4.278758466288963,4.49694852156437,4.875644568531968,4.126357473771474,3.849413038094547,4.852583889776039
501,Welbeck,Brighton,5.7,4.0,3.5792853882838496,2.961643059116434,0.0,3.5498941731319094,3.184533174031543,3.9984224128609474
508,Chambers,Aston Villa,3.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
528,Ogbonna,West Ham,4.3,2.0,0.0,1.5238908170275134,2.388221706690908,2.250070835054572,2.8325224171589287,0.0
531,Antonio,West Ham,5.7,4.0,4.258176649467535,3.5714993578031504,4.474597428524567,4.058546161500205,5.407440055953504,3.3350991053152645
534,Cresswell,West Ham,4.2,2.0,0.0,0.0,0.0,0.0,0.0,2.284850489523107
556,Rashford,Manchester United,8.4,3.0,3.0007114440584384,0.0,0.0,0.0,0.0,0.0
579,Aké,Manchester City,5.1,2.0,0.0,3.896885096207747,4.200197002237857,4.299798128548201,0.0,0.0
585,Coleman,Everton,4.4,2.0,2.2344578203398022,0.0,0.0,0.0,6.737254816195222,3.6839021304839514
592,Barkley,Luton,5.0,3.0,3.096739262510064,4.2564001168607,3.679001995281879,3.8636868033512966,0.0,0.0
603,Clyne,Crystal Palace,4.3,2.0,2.3870323464281786,6.014851107243705,2.9709473808256273,3.248512993289019,3.2553794178966653,3.3184330002988913
618,Sterling,Chelsea,6.9,3.0,0.0,0.0,0.0,0.0,0.0,5.1361341418223345
631,Young,Everton,4.4,2.0,3.0633642462401736,3.8862417604078163,3.431811762336815,3.5142860352115886,4.341799021264847,2.7883361452527664
638,Walker,Manchester City,5.4,2.0,0.0,3.9842429171086873,4.598595973599897,5.027068616291047,8.387996021173425,5.0953076617962445
646,Eriksen,Manchester United,5.8,3.0,0.0,3.3562401073693935,3.239948312897327,2.8620007484081404,0.0,0.0
652,Trippier,Newcastle United,6.8,2.0,0.0,0.0,0.0,0.0,4.0771271323318965,0.0
660,Davies,Tottenham,4.3,2.0,0.0,0.0,3.2004754812378433,0.0,0.0,0.0
668,Gana,Everton,4.8,3.0,0.0,5.236191885244039,2.7877902600800835,3.2665909692522654,3.468326696717205,2.693277509798896
672,J.Ayew,Crystal Palace,5.4,3.0,0.0,3.3447650456352274,3.210717770031122,0.0,0.0,0.0
675,Grealish,Manchester City,7.2,3.0,0.0,0.0,3.5891355994203376,0.0,0.0,0.0
700,Willian,Fulham,5.3,3.0,4.226446304212936,0.0,0.0,3.627848537503607,2.0346423296556275,0.0
706,Fabianski,West Ham,4.2,1.0,4.388867151724341,4.411033674170372,0.0,0.0,0.0,0.0
725,Aina,Nottingham Forest,4.5,2.0,3.9501395334651392,3.2767046610979667,3.217959213683104,4.168745886126428,3.187072181723341,0.0
741,Pickford,Everton,4.6,1.0,4.173202297259559,9.139236637196278,4.807617443239007,5.0859897204391356,5.742630581551087,4.63971044227773
775,Townsend,Luton,5.0,3.0,2.537194884988266,0.0,0.0,0.0,0.0,0.0
807,Evans,Manchester United,4.0,2.0,0.0,0.0,0.0,2.622466888513015,4.871526225922651,0.0
825,Smith,Bournemouth,4.4,2.0,3.403064161497722,4.950309366564804,3.50488508984583,2.7809333434199806,3.2932400166492126,0.0
833,Virgil,Liverpool,6.5,2.0,4.439450645528855,7.034803391253648,3.587461922305219,3.6257483099801218,3.250868076370096,3.9924365292661252
843,Ward-Prowse,West Ham,5.9,3.0,4.132431957480369,4.098114174526493,0.0,0.0,5.18012506770152,3.71703705987672
900,Adama,Fulham,4.9,3.0,0.0,0.0,0.0,0.0,0.0,3.3598281211771
910,Reed,Fulham,4.5,3.0,0.0,0.0,2.9279997634352197,0.0,0.0,2.8745730120267186
922,Andreas,Fulham,5.3,3.0,3.401158227202004,4.5672803958153585,4.928023565284187,4.106406389900399,3.71163509127961,0.0
935,Zouma,West Ham,4.5,2.0,0.0,3.2905191915066645,2.9117000902240537,2.821953796993497,3.758512581320596,2.526214301205564
985,Holgate,Sheffield United,4.0,2.0,2.5818645457156677,3.92536543008387,2.5071521052457086,0.0,0.0,0.0
986,Ings,West Ham,5.6,4.0,6.214363874452771,0.0,0.0,0.0,0.0,0.0
987,Gomez,Liverpool,4.6,2.0,0.0,0.0,0.0,0.0,3.3643637657830245,0.0
