id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty,npxG,npxGI
603928,0,0,0,0.0,57,5221,71,AMR,Leon Bailey,a,0,0,603932,0,0,0,0.0,0.2412593066692352,0.2412593066692352,11,22281,1,Aston Villa,4.32208,1.486,1.486,0.0,1,0,0.0,0.0
603929,1,0,3,0.3065274357795715,90,6556,71,AMC,Moussa Diaby,a,0,0,603933,0,2,0,0.365252822637558,0.6717802286148071,0.0971870198845863,12,22281,1,Aston Villa,4.32208,1.486,1.486,0.6717802584171295,1,0,0.3065274357795715,0.6717802584171295
603930,0,0,0,0.0,75,7723,71,AML,John McGinn,a,0,0,603934,0,1,0,0.0141590423882007,0.0,0.0,13,22281,1,Aston Villa,4.32208,1.486,1.486,0.0141590423882007,1,0,0.0,0.0141590423882007
603931,0,0,2,0.365252822637558,90,8865,71,FW,Ollie Watkins,a,0,0,0,0,2,1,0.1003796756267547,0.5727638602256775,0.1071313694119453,15,22281,1,Aston Villa,4.32208,1.486,1.486,0.4656324982643127,1,0,0.365252822637558,0.4656324982643127
603934,0,0,1,0.030846819281578,15,5712,71,Sub,Diego Carlos,a,0,0,0,603930,0,0,0.0,0.1202460452914238,0.1202460452914238,17,22281,1,Aston Villa,4.32208,1.486,1.486,0.030846819281578,1,0,0.030846819281578,0.030846819281578
603932,0,0,0,0.0,33,5956,71,Sub,Youri Tielemans,a,0,0,0,603928,1,0,0.1071313694119453,0.1071313694119453,0.1071313694119453,17,22281,1,Aston Villa,4.32208,1.486,1.486,0.1071313694119453,1,0,0.0,0.1071313694119453
603935,0,0,0,0.0,60,6221,71,Sub,Pau Torres,a,0,0,0,603924,1,0,0.0131146712228655,0.1202460452914238,0.1202460452914238,17,22281,1,Aston Villa,4.32208,1.486,1.486,0.0131146712228655,1,0,0.0,0.0131146712228655
603933,0,0,1,0.1071313694119453,1,488,71,Sub,Philippe Coutinho,a,0,0,0,603929,0,0,0.0,0.1071313694119453,0.0,17,22281,1,Aston Villa,4.32208,1.486,1.486,0.1071313694119453,1,0,0.1071313694119453,0.1071313694119453
603936,0,0,0,0.0,1,9415,71,Sub,Jaden Philogene-Bidace,a,0,0,0,603922,0,0,0.0,0.1071313694119453,0.1071313694119453,17,22281,1,Aston Villa,4.32208,1.486,1.486,0.0,1,0,0.0,0.0
603726,0,0,0,0.0,90,1297,73,GK,Neto,h,0,0,0,0,0,0,0.0,0.2469067871570587,0.2469067871570587,1,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0,1,0,0.0,0.0
