player_id,player,fpl_id,fpl_name,web_name,element_type,pos,now_cost,penalties_order,status,team_id
10747.0,James Hill,68,James Hill,Hill,2,(D),3.9,,a,2
9509.0,Daniel Jebbison,69,Daniel Jebbison,Jebbison,4,(F),4.5,,a,2
11709.0,Milos Kerkez,70,Milos Kerkez,Kerkez,2,(D),5.3,,a,2
6963.0,Justin Kluivert,71,Justin Kluivert,Kluivert,3,(M),6.2,1.0,d,2
9662.0,Dango Ouattara,74,Dango Ouattara,O.Dango,3,(M),5.0,,a,2
12149.0,Alex Scott,77,Alex Scott,Scott,3,(M),4.7,,a,2
11363.0,Antoine Semenyo,78,Antoine Semenyo,Semenyo,3,(M),5.7,,a,2
10864.0,Marcos Senesi,79,Marcos Senesi,Senesi,2,(D),4.6,,a,2
10866.0,Luis Sinisterra,80,Luis Sinisterra,Sinisterra,3,(M),4.8,,i,2
825.0,Adam Smith,81,Adam Smith,Smith,2,(D),4.4,,a,2
10741.0,Marcus Tavernier,83,Marcus Tavernier,Tavernier,3,(M),5.4,,i,2
11486.0,Illia Zabarnyi,85,Illia Zabarnyi,Zabarnyi,2,(D),4.4,,a,2
5061.0,Kepa,152,Kepa Arrizabalaga,Arrizabalaga,1,(G),4.6,,a,2
11943.0,Dean Huijsen,580,Dean Huijsen,Huijsen,2,(D),4.5,,a,2
11745.0,Julián Araujo,592,Julián Araujo Zúñiga,J.Araujo,2,(D),4.3,,a,2
,,599,Will Dennis,Dennis,1,(G),3.9,,a,2
12963.0,Evanilson,617,Francisco Evanilson de Lima Barbosa,Evanilson,4,(F),5.7,,a,2
,,680,Max Kinsey,Kinsey,2,(D),4.0,,a,2
13242.0,Ben Winterburn,687,Ben Winterburn,Winterburn,3,(M),4.5,,a,2
,,702,Archie Harris,Harris,2,(D),4.0,,a,2
13307.0,Remy Rees-Dottin,707,Remy Rees-Dottin,Rees-Dottin,4,(F),4.5,,a,2
,,712,Matai Akinmboni,Akinmboni,2,(D),4.0,,a,2
,,713,Julio Soler,Soler,2,(D),3.9,,a,2
,,722,Daniel Adu-Adjei,Adu-Adjei,4,(F),4.5,,a,2
,,723,Dominic Sadi,Sadi,3,(M),4.5,,a,2
,,727,Callan McKenna,McKenna,1,(G),4.0,,a,2
13351.0,Zain Silcott-Duberry,728,Zain Silcott-Duberry,Silcott-Duberry,3,(M),4.5,,a,2
,,738,Andoni Iraola,Iraola,5,0,1.1,,a,2
9677.0,Kristoffer Ajer,86,Kristoffer Ajer,Ajer,2,(D),4.4,,a,3
,,87,Ethan Brierley,Brierley,3,(M),4.4,,a,3
9733.0,Nathan Collins,88,Nathan Collins,Collins,2,(D),4.5,,a,3
8859.0,Mikkel Damsgaard,89,Mikkel Damsgaard,Damsgaard,3,(M),5.1,,a,3
10405.0,Josh Dasilva,90,Josh Dasilva,Dasilva,3,(M),4.8,,i,3
7047.0,Mark Flekken,91,Mark Flekken,Flekken,1,(G),4.4,,a,3
9679.0,Rico Henry,92,Rico Henry,Henry,2,(D),4.3,,d,3
8942.0,Aaron Hickey,93,Aaron Hickey,Hickey,2,(D),4.3,,i,3
9680.0,Vitaly Janelt,94,Vitaly Janelt,Janelt,3,(M),4.8,,a,3
7166.0,Mathias Jensen,95,Mathias Jensen,Jensen,3,(M),5.3,,d,3
12136.0,Kim Ji-Soo,96,Kim Ji-soo,Ji-soo,2,(D),3.9,,a,3
12633.0,Yunus Konak,97,Yunus Emre Konak,Konak,3,(M),4.4,,a,3
10809.0,Keane Lewis-Potter,98,Keane Lewis-Potter,Lewis-Potter,3,(M),5.0,,a,3
6552.0,Bryan Mbeumo,99,Bryan Mbeumo,Mbeumo,3,(M),8.1,1.0,a,3
1654.0,Ben Mee,100,Ben Mee,Mee,2,(D),4.2,,a,3
7083.0,Christian Nørgaard,101,Christian Nørgaard,Nørgaard,3,(M),4.8,,a,3
9678.0,Ethan Pinnock,104,Ethan Pinnock,Pinnock,2,(D),4.4,,a,3
9156.0,Kevin Schade,106,Kevin Schade,Schade,3,(M),5.1,,a,3
229.0,Thiago Rodrigues,107,Igor Thiago Nascimento Rodrigues,Thiago,4,(F),5.9,,i,3
12595.0,Hákon Valdimarsson,109,Hákon Valdimarsson,Valdimarsson,1,(G),3.9,,a,3
5786.0,Yoane Wissa,110,Yoane Wissa,Wissa,4,(F),6.6,2.0,a,3
11772.0,Yehor Yarmolyuk,111,Yehor Yarmoliuk,Yarmoliuk,3,(M),4.4,,a,3
9501.0,Fabio Carvalho,314,Fábio Freitas Gouveia Carvalho,Carvalho,3,(M),4.5,,i,3
