player_id,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38,minutes
592,0.0,0.0,0.0,2.0438512954413985,0.0,0.0,3.928228786410454,0.0,1.8279159099827254,0.0,0.0,4.487820393281316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67190748153972,0.0,0.0,0.0,0.0,0.0,0.0,3.599909253946433,3.6336355245180805,0.0,3.5336972134012514,3.7981980425508124,4.405950944919733,3.8602721220033884,3.4776519276357343,3.6309268496653377,3.4685879461893094,4.015953105899046,3.6866981481184475,69.0
603,0.0,0.0,2.7126311312556854,3.871565303664477,0.0,0.0,2.6619413407716515,0.0,0.0,0.0,2.767460529957437,0.0,0.0,0.0,0.0,0.0,2.8788863776963276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0864853475615623,3.912796191547404,0.0,3.478534633993008,3.246533719120224,5.486791898388654,2.921492257938741,2.686301017183082,3.359961459565838,2.776448818517432,3.6821179283280348,2.4163327018384235,73.2
618,0.0,0.0,0.0,0.0,0.0,0.0,5.391899635731954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.931996682048956,0.0,0.0,0.0,5.459916305091532,0.0,3.9885079721495256,4.306259126242722,4.656472058923714,4.175298434818854,4.180695739713434,4.752587970675039,4.937739612781771,4.691561467920529,4.462244622979798,3.4977896544569775,4.578028070936015,5.4306151990744835,62.333333333333336
631,3.453483814675591,0.0,0.0,2.8759858565535628,3.3450497264694916,3.46132979028372,3.340007738516411,3.488514084085369,2.8212986553582584,3.615832620430215,3.273962941027024,3.6897333737742875,3.4508415434085284,4.346304605538345,0.0,3.323765286813913,3.6301826012177894,0.0,4.15842716615477,3.2348514467992935,3.6264205230622686,0.0,0.0,0.0,0.0,0.0,3.710764164197175,4.068975462964761,4.3973859034418155,3.078112764656245,3.716235159743774,3.7289020846533107,3.7904706554165317,3.393225826548064,4.8118933930913785,3.656517986866358,4.851625479436204,3.5471485074165194,84.6470588235294
635,0.0,5.217668810311846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3832262170809635,0.0,0.0,0.0,3.907950679214735,0.0,0.0,0.0,0.0,0.0,0.0,3.8483361865819186,0.0,0.0,0.0,3.6699609867551217,3.640805552017442,4.0981280002631815,3.8584416981087877,3.6951218295246826,3.7853716432260827,3.8130197949483855,3.89556722895472,4.000607539218792,3.758553145061937,3.9387496192688936,3.7752373652871496,90.0
646,0.0,0.0,0.0,3.1406755430721836,3.019575076372777,0.0,3.35667222540097,3.5403093083332706,3.1380240962322437,0.0,0.0,3.3848498321537024,0.0,0.0,0.0,0.0,0.0,0.0,3.2500315377135767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.565338541728067,2.687548215424525,3.2412723528675773,2.7712638850515785,2.971681146698256,2.7916180281881893,3.212362910704666,2.736182563368833,2.8650880348193133,3.3371257039503077,2.802336668913088,3.0419506164221035,80.28571428571429
652,0.0,0.0,0.0,0.0,3.7507900578784166,3.1360650072874616,3.82111259690986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.889663158711126,2.6189106514869143,0.0,0.0,0.0,0.0,0.0,2.1406965344552566,0.0,2.7592359918629787,3.569333534708824,0.0,3.74279305305215,3.9891565106950546,7.52184695560116,3.1341026001175636,4.444679965464112,3.253115019161923,3.4113445868387497,2.977805663550657,4.161146981906098,66.5
660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.042593988503397,3.539277976238425,2.8179909504276597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.635584473348017,3.981005657517863,2.8937922872258994,3.242458207479493,0.0,2.940917293571248,2.8865964807513804,2.738199914714615,2.65701374120369,4.04301057945541,3.1162508495120096,3.1903850621547987,2.399145646126657,3.070468782812724,3.172627054200521,2.70258354948901,3.1292468785019496,85.85714285714286
668,3.6992696845782573,3.3356517250650954,3.463651865100928,3.009762975464511,0.0,0.0,0.0,3.3592642797224417,2.8962491648110835,3.1350527809811632,2.9242784400031865,3.0951113558518486,2.784110336554652,3.144576932576114,0.0,2.547355084600429,2.7371298766393966,2.540486851067806,2.623971651098779,2.35832034677323,2.5056407627341075,2.478801195105965,2.799116957993367,3.5451611238733776,2.829824840012575,2.973477184943782,2.7674115975252236,2.8574399016952174,3.0593239148613587,2.5286671423042435,2.702079574531379,2.735544212805458,2.8210176999962973,2.6871268759422566,3.2106562238746497,2.6883879522996557,3.3131990894611874,2.71119637572867,89.63636363636364
672,0.0,0.0,3.037620228040587,2.824325366379327,3.2009713395394988,0.0,3.104151755710139,0.0,0.0,0.0,2.7877550651255145,0.0,2.708492175433036,0.0,2.5624401348080643,0.0,2.9098215637044773,2.352332290598748,0.0,2.5448993630033203,0.0,2.6531994412194537,2.931659614628653,3.0015949983719414,2.589077294015933,1.7465213131341197,2.88184769789066,2.680747433843613,3.00501029767678,2.6243536077982106,2.8763248755999213,2.6599498480746724,2.5774444800663896,2.788514808871997,3.6132294780456062,2.633875079395428,3.373158915685202,2.6196474613492864,78.73333333333333
675,0.0,0.0,4.143231849854173,4.373750282348568,0.0,3.7415641971029867,3.8729206860692917,0.0,0.0,0.0,0.0,0.0,0.0,3.8882031984890686,0.0,0.0,3.7055392536111613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.785494537195476,3.6023881945101635,3.9967085998351406,4.7863096075120275,3.8152936273451457,4.088674176445309,3.7622780533809963,4.028961279209949,4.22815698653669,4.597583520371854,3.911883071459177,3.4578161605498123,79.0
